Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2013,The Construction of Social Reality,"Searle, John R.",251,academic,philosophy,,,,,
,2013,"Mind, Language And Society: Philosophy In The Real World (Masterminds)",John R. Searle,252,academic,philosophy,,,,,
,2013,Reading Saussure: A Critical Commentary on the Cours De Linguistique Generale,"Harris, Roy",253,academic,linguistics,,,,,
,2013,Diagrammatic Writing,"Drucker, Johanna",254,academic,linguistics,,,,,
,2013,Language and Intelligence,"Harris, Roy",255,academic,linguistics,,,,,
,2013,"Language, Saussure and Wittgenstein: How to Play Games with Words (History of Linguistic Thought)",Roy Harris,256,academic,linguistics,,,,,
,2013,Technology Matters: Questions to Live With,"Nye, David E.",257,academic,technology,,,,,
,2013,"The Mediterranean and the Mediterranean World in the Age of Philip II, Vol. 2","Braudel, Fernand",258,academic,history,,,,,
,2013,Memory and the Mediterranean,"Braudel, Fernand",259,academic,history,,,,,
,2013,Technology In America: A Brief History,Alan Marcus,260,academic,technology,,,,,
,2013,A Social History of American Technology,"Cowan, Ruth Schwartz",261,academic,technology,,,,,
,2013,Society and Technological Change,"Volti, Rudi",262,academic,technology,,,,,
,2013,The Phonemes (Trenchart: the Recon Series),"Richard, Frances",263,poetry,,,,,,
,2013,"The Culture of the Copy: Striking Likenesses, Unreasonable Facsimilies","Schwartz, Hillel",264,academic,literary criticism,,,,,
,2013,"Time and Narrative, Volume 1 (Time & Narrative)","Ricoeur, Paul",265,academic,literary criticism,,,,,
,2013,The Rule of Metaphor: Multi-disciplinary Studies of the Creation of Meaning in Language,PAUL RICOEUR,266,academic,literary criticism,,,,,
,2013,Inside Paragraphs Typographic Fundamentals,Cyrus Highsmith,267,art,typography,sold,,,,
,2013,Re-Visioning Psychology,"Hillman, James",268,academic,psychology,,,,,
,2013,"Frankenstein's Footsteps: Science, Genetics and Popular Culture","Turney, Mr. Jon",269,academic,literary criticism,,,,,
,2013,The Rhetoric and Poetics of Aristotle,Aristotle,270,academic,rhetoric,,,,,
,2013,"The Mediterranean and the Mediterranean World in the Age of Philip II, Vol. 1","Braudel, Fernand",271,academic,history,,,,,
